x,y,z,yaw,velocity,change_flag
-0.0932,0.1896,-0.1942,-0.0173,0,0
0.910166,0.176223,-0.0369,-0.00965993,0,0
1.91084,0.491189,-0.1127,-0.645458,0,0
2.9636,0.0958,0.1361,-0.0072,0,0
3.9968,0.098,0.0905,-0.0131,0,0
5.0469,0.1322,0.1727,-0.0026,0,0
6.0972,0.2344,0.2295,-0.0028,0,0
7.1154,0.2111,0.23,-0.1331,0,0
8.1466,0.17,0.2638,-0.0444,0,0
9.1615,0.2328,0.2676,0.1149,0,0
10.2017,0.2328,0.3588,-0.0784,0,0
11.2703,0.2387,0.2764,0.0196,0,0
12.2783,0.3025,0.3221,-0.0181,0,0
13.351,0.2649,0.3288,-0.072,0,0
14.384,0.2285,0.3036,0.0932,0,0
15.3955,0.2842,0.3778,-0.1347,0,0
16.3904,0.1671,0.3985,-0.0303,0,0
17.3999,0.1738,0.3972,0.0378,0,0
18.4419,0.2236,0.4404,-0.1019,0,0
19.4556,0.129,0.4047,-0.0691,0,0
20.523,0.1953,0.4971,0.0112,0,0
21.5268,0.2595,0.441,-0.0269,0,0
22.5582,0.1843,0.4805,-0.0955,0,0
23.5741,0.171,0.5107,-0.02,0,0
24.6164,0.1545,0.5022,0.0291,0,0
25.665,0.188,0.4921,0.0326,0,0
26.7021,0.2401,0.5354,0.0494,0,0
27.7134,0.2759,0.599,-0.0553,0,0
28.7407,0.2265,0.6462,-0.0273,0,0
29.7427,0.2284,0.6104,-0.0192,0,0
30.7679,0.2115,0.6333,-0.0674,0,0
31.8027,0.1762,0.6353,-0.0967,0,0
32.8098,0.0543,0.6871,-0.0183,0,0
33.8175,0.1029,0.6532,0.0016,0,0
34.8688,0.1023,0.7061,0.0073,0,0
35.9002,0.1283,0.669,0.0219,0,0
36.9772,0.1386,0.7548,-0.0647,0,0
38.0085,0.118,0.7709,-0.0468,0,0
39.0118,0.0182,0.7857,-0.1693,0,0
40.0286,-0.0124,0.833,-0.003,0,0
41.0552,0.0345,0.851,0.0021,0,0
42.099,0.0828,0.8172,0.0064,0,0
43.1116,0.1054,0.8687,-0.0401,0,0
44.1652,0.0658,0.8497,-0.0629,0,0
45.1953,0.0131,0.9621,-0.0346,0,0
46.201,0.0706,1.0606,0.0018,0,0
47.2517,0.0729,0.9522,-0.0151,0,0
48.3116,0.0639,1.0978,-0.0367,0,0
49.3755,0.0375,1.2048,-0.0461,0,0
50.4181,0.0308,1.1566,0.0517,0,0
51.4413,0.1272,1.268,0.0348,0,0
52.4795,0.0969,1.2625,-0.0748,0,0
53.4821,0.0394,1.3611,-0.0329,0,0
54.4953,0.0554,1.2825,0.0431,0,0
55.4951,0.0942,1.3701,-0.0929,0,0
56.4946,0.0443,1.3779,-0.0398,0,0
57.5069,-0.006,1.466,-0.07,0,0
58.5232,-0.0576,1.3596,0.0186,0,0
59.5502,0.0089,1.4577,0.0197,0,0
60.5543,0.043,1.5171,-0.0879,0,0
61.5669,-0.1371,1.6003,-0.435,0,0
62.3469,-0.8119,1.6482,-1.0205,0,0
62.5121,-1.8354,1.5823,-1.6293,0,0
62.4486,-2.844,1.5678,-1.7202,0,0
